PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
97167,112,41,62291,71,41
71375,112,41,56667,71,41
75833,112,41,54000,71,41
140000,112,41,85333,71,41
72750,112,41,55833,71,41
90750,112,41,62375,71,41
86375,112,41,57500,71,41
114667,112,41,69917,71,41
125541,112,41,69959,71,41
106792,112,41,58750,71,41
81708,112,41,57042,71,41
76708,112,41,55292,71,41
93958,112,41,62292,71,41
109333,112,41,69667,71,41
97666,112,41,61042,71,41
77000,112,41,57000,71,41
75542,112,41,59417,71,41
97166,112,41,60750,71,41
82083,112,41,61792,71,41
159584,112,41,68000,71,41
170292,112,41,57166,71,41
80083,112,41,62709,71,41
94959,112,41,69500,71,41
150625,112,41,68250,71,41
67083,112,41,56666,71,41
60500,112,41,54792,71,41
102167,112,41,60958,71,41
113833,112,41,65000,71,41
88167,112,41,72458,71,41
119417,112,41,67042,71,41
88583,112,41,58791,71,41
75666,112,41,56125,71,41
90541,112,41,63625,71,41
109083,112,41,59125,71,41
87500,112,41,138542,71,41
94709,112,41,56708,71,41
100958,112,41,65958,71,41
76667,112,41,55292,71,41
117542,112,41,60208,71,41
73667,112,41,56750,71,41
59375,112,41,57250,71,41
75958,112,41,59750,71,41
110542,112,41,61334,71,41
86209,112,41,61292,71,41
84083,112,41,59750,71,41
97875,112,41,67959,71,41
86333,112,41,86750,71,41
88209,112,41,58875,71,41
67542,112,41,53084,71,41
465125,112,41,401708,71,41
93750,112,41,58958,71,41
64083,112,41,57875,71,41
95083,112,41,58417,71,41
66291,112,41,55500,71,41
76125,112,41,55292,71,41
100292,112,41,61000,71,41
97625,112,41,62500,71,41
87542,112,41,58458,71,41
68292,112,41,62250,71,41
94500,112,41,59625,71,41
128000,112,41,66167,71,41
66917,112,41,53958,71,41
60583,112,41,152833,71,41
80167,112,41,63667,71,41
75417,112,41,56125,71,41
96667,112,41,56792,71,41
68292,112,41,54417,71,41
78208,112,41,59208,71,41
82125,112,41,56500,71,41
88333,112,41,73667,71,41
104500,112,41,63625,71,41
70833,112,41,59459,71,41
103667,112,41,61000,71,41
149916,112,41,67833,71,41
130000,112,41,67583,71,41
182708,112,41,63166,71,41
85458,112,41,60959,71,41
103791,112,41,65458,71,41
99000,112,41,59750,71,41
82458,112,41,56917,71,41
90000,112,41,67792,71,41
69875,112,41,56542,71,41
61833,112,41,54209,71,41
69791,112,41,52667,71,41
84291,112,41,64583,71,41
101875,112,41,62375,71,41
102708,112,41,61667,71,41
106750,112,41,138458,71,41
91292,112,41,59750,71,41
88375,112,41,58834,71,41
68750,112,41,56708,71,41
63333,112,41,64708,71,41
128292,112,41,65750,71,41
72917,112,41,56000,71,41
62666,112,41,59083,71,41
73625,112,41,118167,71,41
216042,112,41,107833,71,41
117958,112,41,61875,71,41
74458,112,41,59250,71,41
103000,112,41,60292,71,41
