PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
1194708,2568,61,7677459,15126,360
1232125,2568,61,10989750,15126,360
1301167,2568,61,7836500,15126,360
1257042,2568,61,7672959,15126,360
1302167,2568,61,10141708,15126,360
1562166,2568,61,7620625,15126,360
1304625,2568,61,7680666,15126,360
1372167,2568,61,8279083,15126,360
2475791,2568,61,7884625,15126,360
1398125,2568,61,10234209,15126,360
1540584,2568,61,12229542,15126,360
1325334,2568,61,10917417,15126,360
1415750,2568,61,9422292,15126,360
1459958,2568,61,8979291,15126,360
1239625,2568,61,12566833,15126,360
1457625,2568,61,13056750,15126,360
1233458,2568,61,7767917,15126,360
1369750,2568,61,7771709,15126,360
1280042,2568,61,7511708,15126,360
1374125,2568,61,7815333,15126,360
1244708,2568,61,11862542,15126,360
1272625,2568,61,7416375,15126,360
1238500,2568,61,8042458,15126,360
1305625,2568,61,11847125,15126,360
1410833,2568,61,7626166,15126,360
1368250,2568,61,7434542,15126,360
1354125,2568,61,14866833,15126,360
1325542,2568,61,7717416,15126,360
1328792,2568,61,7517042,15126,360
1420708,2568,61,7447917,15126,360
1612333,2568,61,10000083,15126,360
1262042,2568,61,7668959,15126,360
1318334,2568,61,7527167,15126,360
1540042,2568,61,15752459,15126,360
1178542,2568,61,7728000,15126,360
3404333,2568,61,8363667,15126,360
1358709,2568,61,7747333,15126,360
1271333,2568,61,9737541,15126,360
1331041,2568,61,7857584,15126,360
1214667,2568,61,9978000,15126,360
1270875,2568,61,7291041,15126,360
1279875,2568,61,8096291,15126,360
1263000,2568,61,10657750,15126,360
1727666,2568,61,7944417,15126,360
1233208,2568,61,11491833,15126,360
1178250,2568,61,7652041,15126,360
1430333,2568,61,7803625,15126,360
1190500,2568,61,7867875,15126,360
2263791,2568,61,8221041,15126,360
1365792,2568,61,7930208,15126,360
1425875,2568,61,9792125,15126,360
1307083,2568,61,7349500,15126,360
1333666,2568,61,13472959,15126,360
1300208,2568,61,7335833,15126,360
1247875,2568,61,7188375,15126,360
2387333,2568,61,10674709,15126,360
1327917,2568,61,7747209,15126,360
1310000,2568,61,7226916,15126,360
1658208,2568,61,10986792,15126,360
1388875,2568,61,7807625,15126,360
1243125,2568,61,7630209,15126,360
1291375,2568,61,7985292,15126,360
1252416,2568,61,9994208,15126,360
5847875,2568,61,11042750,15126,360
1287125,2568,61,7758917,15126,360
1397709,2568,61,7451041,15126,360
1285250,2568,61,7675083,15126,360
1230875,2568,61,7419125,15126,360
3045375,2568,61,15465291,15126,360
1285875,2568,61,7784875,15126,360
1354250,2568,61,7617458,15126,360
1237792,2568,61,7439167,15126,360
3261500,2568,61,7948000,15126,360
1413084,2568,61,7481833,15126,360
1221542,2568,61,7184084,15126,360
2767625,2568,61,9567875,15126,360
1248333,2568,61,7653875,15126,360
1237041,2568,61,7348291,15126,360
2902041,2568,61,10427125,15126,360
1297958,2568,61,7392416,15126,360
1264417,2568,61,7758959,15126,360
1215333,2568,61,7770000,15126,360
1280292,2568,61,7936917,15126,360
1369459,2568,61,7836417,15126,360
1331125,2568,61,7635458,15126,360
1339292,2568,61,8408500,15126,360
1338792,2568,61,7313500,15126,360
1244083,2568,61,13126459,15126,360
1343416,2568,61,7754833,15126,360
1397500,2568,61,14875292,15126,360
1289875,2568,61,8109791,15126,360
4849167,2568,61,14883084,15126,360
1514250,2568,61,9900916,15126,360
1334334,2568,61,7474458,15126,360
1229750,2568,61,11537875,15126,360
1628708,2568,61,7476083,15126,360
1335334,2568,61,7739958,15126,360
1386125,2568,61,7696375,15126,360
1323250,2568,61,8048291,15126,360
1279875,2568,61,7466500,15126,360
