PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
68292,16,5,14917,11,5
63792,16,5,14875,11,5
106000,16,5,19000,11,5
62334,16,5,15292,11,5
39208,16,5,13167,11,5
109000,16,5,43625,11,5
52750,16,5,13459,11,5
101042,16,5,24250,11,5
66709,16,5,14833,11,5
87375,16,5,18583,11,5
65167,16,5,13542,11,5
58959,16,5,14625,11,5
67167,16,5,35375,11,5
41542,16,5,17958,11,5
62708,16,5,13750,11,5
29292,16,5,12208,11,5
78041,16,5,14208,11,5
58750,16,5,14042,11,5
78167,16,5,14209,11,5
83292,16,5,19792,11,5
49333,16,5,12625,11,5
46416,16,5,15500,11,5
48333,16,5,15791,11,5
36458,16,5,13875,11,5
41750,16,5,16042,11,5
92583,16,5,16166,11,5
75125,16,5,20333,11,5
58791,16,5,14042,11,5
123750,16,5,17042,11,5
42292,16,5,13000,11,5
55958,16,5,22000,11,5
49375,16,5,13958,11,5
67583,16,5,18083,11,5
30542,16,5,15959,11,5
20667,16,5,20292,11,5
57084,16,5,14042,11,5
39042,16,5,14167,11,5
32667,16,5,12042,11,5
33458,16,5,17667,11,5
120875,16,5,25208,11,5
40625,16,5,12708,11,5
28541,16,5,12083,11,5
59459,16,5,13625,11,5
38250,16,5,15958,11,5
38375,16,5,17000,11,5
83792,16,5,16042,11,5
38750,16,5,15875,11,5
72875,16,5,14625,11,5
76875,16,5,16041,11,5
58292,16,5,19083,11,5
45417,16,5,16584,11,5
34292,16,5,11625,11,5
66292,16,5,21208,11,5
22250,16,5,14459,11,5
48333,16,5,19917,11,5
57583,16,5,13375,11,5
65584,16,5,15333,11,5
58000,16,5,14875,11,5
75334,16,5,27292,11,5
61167,16,5,14625,11,5
40666,16,5,12792,11,5
64750,16,5,14542,11,5
85333,16,5,15209,11,5
66792,16,5,16208,11,5
68792,16,5,15292,11,5
40833,16,5,12292,11,5
83459,16,5,16708,11,5
39709,16,5,17041,11,5
68666,16,5,18500,11,5
28000,16,5,15750,11,5
49041,16,5,21750,11,5
68417,16,5,15833,11,5
49042,16,5,17500,11,5
54875,16,5,13625,11,5
83708,16,5,14959,11,5
28291,16,5,14541,11,5
21083,16,5,11083,11,5
58583,16,5,13000,11,5
46708,16,5,16959,11,5
67959,16,5,15166,11,5
46416,16,5,12875,11,5
40666,16,5,16334,11,5
59958,16,5,17667,11,5
39708,16,5,13334,11,5
19625,16,5,10750,11,5
26458,16,5,11958,11,5
50292,16,5,11916,11,5
119625,16,5,18875,11,5
58375,16,5,20750,11,5
25250,16,5,12000,11,5
25083,16,5,70916,11,5
128500,16,5,28500,11,5
83917,16,5,17250,11,5
75291,16,5,13167,11,5
36917,16,5,15583,11,5
55250,16,5,15334,11,5
41292,16,5,11875,11,5
60375,16,5,12875,11,5
169125,16,5,17083,11,5
26750,16,5,11708,11,5
