PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
11451083,18108,431,33940167,52086,1240
9077084,18108,431,28710458,52086,1240
12464417,18108,431,27320125,52086,1240
13210667,18108,431,28075916,52086,1240
9720625,18108,431,27403958,52086,1240
9521209,18108,431,27263958,52086,1240
9210958,18108,431,27485166,52086,1240
15412916,18108,431,27582125,52086,1240
14043916,18108,431,30502792,52086,1240
9133083,18108,431,34343875,52086,1240
9468875,18108,431,32030750,52086,1240
9020542,18108,431,32674083,52086,1240
9200625,18108,431,26690500,52086,1240
12774875,18108,431,27093000,52086,1240
8794625,18108,431,31950416,52086,1240
8816917,18108,431,30770833,52086,1240
9524417,18108,431,31683375,52086,1240
9409458,18108,431,27396375,52086,1240
14668208,18108,431,29968583,52086,1240
12671291,18108,431,29484916,52086,1240
8816708,18108,431,32713750,52086,1240
9342458,18108,431,26614125,52086,1240
15482417,18108,431,27627667,52086,1240
20162625,18108,431,26525875,52086,1240
11795125,18108,431,27210958,52086,1240
9088709,18108,431,34875708,52086,1240
9366584,18108,431,30302750,52086,1240
9153916,18108,431,33775000,52086,1240
8869125,18108,431,30944708,52086,1240
9146833,18108,431,32862541,52086,1240
9637958,18108,431,27029000,52086,1240
11134875,18108,431,27540375,52086,1240
14499041,18108,431,27390583,52086,1240
13564667,18108,431,27040583,52086,1240
9014250,18108,431,33284000,52086,1240
9151916,18108,431,32406375,52086,1240
9453875,18108,431,34882250,52086,1240
9640875,18108,431,32823333,52086,1240
9713500,18108,431,31540542,52086,1240
9696042,18108,431,27134834,52086,1240
16329833,18108,431,27299750,52086,1240
12295750,18108,431,30186500,52086,1240
9074500,18108,431,33180167,52086,1240
9010333,18108,431,31275167,52086,1240
9113500,18108,431,32913584,52086,1240
9139750,18108,431,29916292,52086,1240
9019459,18108,431,33208375,52086,1240
9163917,18108,431,33209375,52086,1240
8915000,18108,431,33988167,52086,1240
9039375,18108,431,33409625,52086,1240
9382333,18108,431,33755667,52086,1240
8827958,18108,431,29528375,52086,1240
11630417,18108,431,30084458,52086,1240
9016625,18108,431,29987959,52086,1240
8821834,18108,431,33326500,52086,1240
12203500,18108,431,29435084,52086,1240
10424959,18108,431,27321583,52086,1240
15878500,18108,431,62041584,52086,1240
9432334,18108,431,27458208,52086,1240
16062625,18108,431,27643916,52086,1240
9001167,18108,431,34278750,52086,1240
9069792,18108,431,32797959,52086,1240
8974625,18108,431,30760500,52086,1240
9305958,18108,431,33477458,52086,1240
9718708,18108,431,33290750,52086,1240
9450541,18108,431,27310625,52086,1240
10660292,18108,431,27099500,52086,1240
9410917,18108,431,27216167,52086,1240
8892792,18108,431,569246791,52086,1240
9290334,18108,431,28683292,52086,1240
11747208,18108,431,28875083,52086,1240
13052041,18108,431,29853625,52086,1240
13160458,18108,431,32272667,52086,1240
13950584,18108,431,40567000,52086,1240
9591625,18108,431,32457834,52086,1240
12420833,18108,431,26957625,52086,1240
9092709,18108,431,28929166,52086,1240
8728667,18108,431,29715333,52086,1240
9736583,18108,431,31922084,52086,1240
12584084,18108,431,32398375,52086,1240
12184125,18108,431,35490834,52086,1240
9112084,18108,431,30190042,52086,1240
9553458,18108,431,30623708,52086,1240
9157667,18108,431,32593708,52086,1240
9546000,18108,431,30840500,52086,1240
8999250,18108,431,29714750,52086,1240
8980208,18108,431,26949000,52086,1240
9526959,18108,431,30544916,52086,1240
12184917,18108,431,30577667,52086,1240
9633542,18108,431,32833084,52086,1240
9212834,18108,431,33656625,52086,1240
8859958,18108,431,33072875,52086,1240
9214583,18108,431,26949458,52086,1240
8873459,18108,431,34824334,52086,1240
9814916,18108,431,28418583,52086,1240
11777292,18108,431,29010209,52086,1240
8792208,18108,431,32155875,52086,1240
9400167,18108,431,31105542,52086,1240
9498875,18108,431,30976709,52086,1240
12652167,18108,431,34646000,52086,1240
