PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
89375,6,13,234041,6,92
125167,6,13,265791,6,92
103375,6,13,235417,6,92
108333,6,13,238792,6,92
72583,6,13,226791,6,92
69708,6,13,224167,6,92
90500,6,13,225916,6,92
102000,6,13,249500,6,92
102625,6,13,237834,6,92
76125,6,13,227083,6,92
89500,6,13,261750,6,92
94458,6,13,230917,6,92
98083,6,13,225583,6,92
129541,6,13,259833,6,92
74458,6,13,221292,6,92
62416,6,13,218292,6,92
200042,6,13,262542,6,92
58125,6,13,239292,6,92
108583,6,13,251625,6,92
61000,6,13,214500,6,92
80791,6,13,269750,6,92
119208,6,13,237458,6,92
74042,6,13,229834,6,92
118208,6,13,256209,6,92
94583,6,13,227584,6,92
89459,6,13,237083,6,92
201166,6,13,395083,6,92
113875,6,13,434125,6,92
98250,6,13,238125,6,92
136834,6,13,1220792,6,92
112542,6,13,254750,6,92
89416,6,13,236166,6,92
200958,6,13,258875,6,92
81083,6,13,223792,6,92
95958,6,13,270709,6,92
108208,6,13,233584,6,92
112958,6,13,246000,6,92
107000,6,13,242833,6,92
75250,6,13,235209,6,92
131750,6,13,257917,6,92
83958,6,13,226500,6,92
109125,6,13,245709,6,92
77833,6,13,224083,6,92
75500,6,13,318125,6,92
88416,6,13,228959,6,92
116208,6,13,306833,6,92
122500,6,13,277916,6,92
75375,6,13,232625,6,92
108708,6,13,256292,6,92
74125,6,13,229625,6,92
751000,6,13,742250,6,92
85459,6,13,235084,6,92
169250,6,13,261500,6,92
123792,6,13,276334,6,92
78334,6,13,239084,6,92
107500,6,13,247167,6,92
135000,6,13,252958,6,92
84208,6,13,229292,6,92
76875,6,13,241292,6,92
101292,6,13,261417,6,92
87583,6,13,250708,6,92
98584,6,13,264083,6,92
77667,6,13,232959,6,92
120958,6,13,253375,6,92
86667,6,13,231625,6,92
71208,6,13,221209,6,92
84125,6,13,233208,6,92
68000,6,13,215333,6,92
90833,6,13,236166,6,92
308875,6,13,253458,6,92
110958,6,13,239667,6,92
85959,6,13,221750,6,92
73542,6,13,223084,6,92
112458,6,13,248041,6,92
96917,6,13,236958,6,92
110458,6,13,267291,6,92
92667,6,13,264250,6,92
75375,6,13,226958,6,92
59083,6,13,220083,6,92
87958,6,13,235042,6,92
92709,6,13,251375,6,92
71000,6,13,237958,6,92
95583,6,13,223541,6,92
96833,6,13,248000,6,92
107584,6,13,237583,6,92
103209,6,13,270208,6,92
87208,6,13,230959,6,92
69916,6,13,220167,6,92
89083,6,13,321542,6,92
78125,6,13,227375,6,92
82541,6,13,229333,6,92
110500,6,13,247042,6,92
79917,6,13,228375,6,92
58042,6,13,209125,6,92
110459,6,13,260541,6,92
92750,6,13,242250,6,92
85208,6,13,228167,6,92
94792,6,13,266667,6,92
82084,6,13,225458,6,92
88625,6,13,364583,6,92
