PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
596667,6,85,1461458,6,480
389333,6,85,1418458,6,480
462584,6,85,1400292,6,480
464792,6,85,1491375,6,480
339791,6,85,1405917,6,480
392250,6,85,1344167,6,480
401375,6,85,1494625,6,480
634791,6,85,2859542,6,480
452542,6,85,1495000,6,480
412417,6,85,1431833,6,480
322792,6,85,1259000,6,480
585958,6,85,2665000,6,480
435459,6,85,1414208,6,480
381625,6,85,1387334,6,480
366417,6,85,1391041,6,480
399791,6,85,1419500,6,480
416208,6,85,1419833,6,480
464459,6,85,1383292,6,480
369209,6,85,1428000,6,480
391542,6,85,1388708,6,480
364042,6,85,1392333,6,480
505417,6,85,1861000,6,480
400459,6,85,1386333,6,480
355875,6,85,1445583,6,480
370708,6,85,1381708,6,480
390667,6,85,1354042,6,480
407709,6,85,1425083,6,480
391875,6,85,1445875,6,480
435709,6,85,1421208,6,480
402542,6,85,1534333,6,480
882375,6,85,3021875,6,480
415333,6,85,1377000,6,480
403833,6,85,1412333,6,480
407541,6,85,1368625,6,480
413666,6,85,1414500,6,480
665875,6,85,4442041,6,480
394875,6,85,1361792,6,480
423083,6,85,1420125,6,480
505667,6,85,1640125,6,480
359584,6,85,1330750,6,480
446417,6,85,1434375,6,480
418584,6,85,1437833,6,480
414708,6,85,1363833,6,480
410125,6,85,1358458,6,480
430834,6,85,1446625,6,480
419833,6,85,1512000,6,480
370500,6,85,1349916,6,480
392833,6,85,1453209,6,480
408583,6,85,1403667,6,480
424792,6,85,1625375,6,480
380084,6,85,1373833,6,480
402875,6,85,1427166,6,480
444750,6,85,1409750,6,480
411625,6,85,1428416,6,480
407625,6,85,1361542,6,480
645375,6,85,2141708,6,480
432084,6,85,1474834,6,480
463333,6,85,1453875,6,480
363250,6,85,1381916,6,480
420875,6,85,1394000,6,480
407875,6,85,1471791,6,480
488291,6,85,2644250,6,480
469917,6,85,1419333,6,480
393875,6,85,1399292,6,480
374167,6,85,1388375,6,480
423333,6,85,1404041,6,480
424958,6,85,1462833,6,480
406625,6,85,1403792,6,480
366917,6,85,1624584,6,480
445125,6,85,1436958,6,480
437459,6,85,1504166,6,480
425125,6,85,1409292,6,480
396000,6,85,1496458,6,480
386291,6,85,1357625,6,480
461916,6,85,2621625,6,480
380625,6,85,1475750,6,480
455875,6,85,1494042,6,480
414917,6,85,1532792,6,480
420750,6,85,1551417,6,480
378833,6,85,1333041,6,480
419417,6,85,1500333,6,480
407375,6,85,1964959,6,480
411625,6,85,1407500,6,480
456167,6,85,1365250,6,480
447459,6,85,1459459,6,480
378708,6,85,1398708,6,480
412000,6,85,1362833,6,480
432834,6,85,1462834,6,480
393000,6,85,1468833,6,480
383875,6,85,1400458,6,480
363542,6,85,1321958,6,480
383000,6,85,1732291,6,480
444958,6,85,1366375,6,480
385458,6,85,1426000,6,480
397083,6,85,1389708,6,480
409334,6,85,1549792,6,480
398166,6,85,1343083,6,480
472166,6,85,1438917,6,480
461125,6,85,2865084,6,480
433083,6,85,1443292,6,480
