PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
303166,552,13,1696000,3870,92
289459,552,13,1613875,3870,92
268833,552,13,1693250,3870,92
238125,552,13,1556375,3870,92
261625,552,13,1608333,3870,92
298791,552,13,1586958,3870,92
547167,552,13,3199042,3870,92
235250,552,13,1781250,3870,92
246083,552,13,4319458,3870,92
239875,552,13,1569084,3870,92
238167,552,13,1617417,3870,92
235709,552,13,1596167,3870,92
220416,552,13,1639459,3870,92
301833,552,13,1657000,3870,92
240875,552,13,1606000,3870,92
305667,552,13,135269625,3870,92
259167,552,13,1724625,3870,92
313375,552,13,1776292,3870,92
327084,552,13,1731416,3870,92
240041,552,13,4242959,3870,92
266000,552,13,1623958,3870,92
269458,552,13,1685042,3870,92
321208,552,13,1788917,3870,92
282125,552,13,1656708,3870,92
309750,552,13,1847791,3870,92
277875,552,13,2946542,3870,92
294042,552,13,1776875,3870,92
245416,552,13,1840375,3870,92
253583,552,13,1867584,3870,92
327167,552,13,1557334,3870,92
246334,552,13,1811625,3870,92
326708,552,13,1739084,3870,92
265750,552,13,1767083,3870,92
256792,552,13,1585084,3870,92
259458,552,13,1699333,3870,92
282541,552,13,1627208,3870,92
254791,552,13,3440916,3870,92
280208,552,13,1595667,3870,92
287166,552,13,1785333,3870,92
290250,552,13,2758416,3870,92
2461833,552,13,1922833,3870,92
278875,552,13,2252750,3870,92
289750,552,13,1839000,3870,92
300250,552,13,1775708,3870,92
280208,552,13,1582958,3870,92
238375,552,13,1633542,3870,92
291292,552,13,1579084,3870,92
211584,552,13,1506416,3870,92
251834,552,13,1550208,3870,92
289292,552,13,1700041,3870,92
215167,552,13,1536750,3870,92
272125,552,13,1630166,3870,92
235291,552,13,1790000,3870,92
267583,552,13,1598125,3870,92
269833,552,13,1479500,3870,92
232834,552,13,1557458,3870,92
267917,552,13,1646041,3870,92
220000,552,13,1537834,3870,92
261709,552,13,1613625,3870,92
259000,552,13,1612208,3870,92
1055375,552,13,1982709,3870,92
261250,552,13,1633667,3870,92
251042,552,13,1674292,3870,92
251750,552,13,1583292,3870,92
221375,552,13,4070333,3870,92
223042,552,13,1532208,3870,92
269792,552,13,1676166,3870,92
252916,552,13,1684042,3870,92
212500,552,13,1532417,3870,92
242875,552,13,1557708,3870,92
254542,552,13,1531666,3870,92
258333,552,13,1600042,3870,92
266584,552,13,1714250,3870,92
244583,552,13,1610875,3870,92
224917,552,13,1520208,3870,92
715500,552,13,5555792,3870,92
242375,552,13,1688917,3870,92
224958,552,13,1561125,3870,92
231709,552,13,1522125,3870,92
262208,552,13,1675708,3870,92
239041,552,13,1690750,3870,92
645292,552,13,1805250,3870,92
239458,552,13,1693250,3870,92
261667,552,13,1790792,3870,92
350167,552,13,1657792,3870,92
256500,552,13,1855375,3870,92
279250,552,13,1867667,3870,92
254334,552,13,4582333,3870,92
257791,552,13,1628500,3870,92
331125,552,13,1790209,3870,92
691250,552,13,6266625,3870,92
1971875,552,13,7300375,3870,92
1028875,552,13,6815166,3870,92
382750,552,13,4360250,3870,92
333583,552,13,1733625,3870,92
266125,552,13,1663875,3870,92
240958,552,13,1694416,3870,92
258208,552,13,1656792,3870,92
347083,552,13,1714250,3870,92
218709,552,13,1577083,3870,92
