PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
1727583,6,421,4014000,6,1240
1729917,6,421,3824291,6,1240
1700916,6,421,4011500,6,1240
2931750,6,421,5708084,6,1240
1916125,6,421,4009667,6,1240
1685625,6,421,3978041,6,1240
1643417,6,421,3811417,6,1240
1797958,6,421,5734709,6,1240
1678333,6,421,4192125,6,1240
1841000,6,421,4511250,6,1240
1797375,6,421,3895625,6,1240
1953792,6,421,4039125,6,1240
1666167,6,421,3837875,6,1240
1663042,6,421,3872083,6,1240
1838458,6,421,4284333,6,1240
1733000,6,421,3803417,6,1240
1656584,6,421,3802584,6,1240
1693000,6,421,7060667,6,1240
1698708,6,421,3821666,6,1240
1743500,6,421,4425000,6,1240
1758125,6,421,3886458,6,1240
2609000,6,421,4908125,6,1240
1817333,6,421,3894708,6,1240
1709125,6,421,3829042,6,1240
1672375,6,421,4354417,6,1240
4565250,6,421,6009250,6,1240
1710916,6,421,3934458,6,1240
1908875,6,421,3971209,6,1240
1847208,6,421,3904334,6,1240
1700666,6,421,6541500,6,1240
1768291,6,421,4039125,6,1240
1779167,6,421,4007000,6,1240
2031708,6,421,6899917,6,1240
1685583,6,421,4293041,6,1240
1872042,6,421,3878375,6,1240
1698875,6,421,4018375,6,1240
1739625,6,421,8294292,6,1240
1739750,6,421,3936459,6,1240
1707125,6,421,3952583,6,1240
1737125,6,421,7804000,6,1240
1738583,6,421,3770250,6,1240
1938208,6,421,3883834,6,1240
1681708,6,421,3827000,6,1240
1662167,6,421,3749792,6,1240
1744750,6,421,4132125,6,1240
1834292,6,421,3821500,6,1240
1797125,6,421,3926792,6,1240
3276084,6,421,6996584,6,1240
1788084,6,421,4548917,6,1240
1759000,6,421,3993042,6,1240
1776208,6,421,6207625,6,1240
1708209,6,421,3993209,6,1240
1755375,6,421,3849750,6,1240
1709417,6,421,7584500,6,1240
1832500,6,421,3813833,6,1240
1711458,6,421,3775625,6,1240
1788708,6,421,3777250,6,1240
1630125,6,421,3814750,6,1240
1858959,6,421,3933333,6,1240
1867708,6,421,3923708,6,1240
1744834,6,421,7076042,6,1240
1719792,6,421,4137458,6,1240
1771875,6,421,3909917,6,1240
1679250,6,421,4345375,6,1240
2698750,6,421,4621500,6,1240
1811125,6,421,4120917,6,1240
1683834,6,421,3974000,6,1240
1636750,6,421,3854417,6,1240
2375459,6,421,3956041,6,1240
1780083,6,421,4020209,6,1240
1764000,6,421,4127833,6,1240
1751416,6,421,7224458,6,1240
1768750,6,421,3809375,6,1240
1698500,6,421,3823125,6,1240
1657666,6,421,3788708,6,1240
1655500,6,421,6370292,6,1240
1744584,6,421,3959791,6,1240
1774541,6,421,3887750,6,1240
1840584,6,421,3868083,6,1240
1676334,6,421,3814667,6,1240
1744417,6,421,4431375,6,1240
1892541,6,421,3971292,6,1240
1687542,6,421,3798208,6,1240
3889125,6,421,5722917,6,1240
1696417,6,421,3803750,6,1240
1671459,6,421,4044584,6,1240
1662958,6,421,4130083,6,1240
1766208,6,421,6349375,6,1240
2103500,6,421,4018125,6,1240
1734375,6,421,3899417,6,1240
1649917,6,421,3778333,6,1240
1760375,6,421,4115334,6,1240
1706625,6,421,3870916,6,1240
1659709,6,421,3904208,6,1240
1775500,6,421,3950833,6,1240
5226750,6,421,4109916,6,1240
1626584,6,421,4078292,6,1240
1752625,6,421,3851916,6,1240
1699792,6,421,3930208,6,1240
5489708,6,421,4977375,6,1240
