PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
187500,6,41,735958,6,260
165959,6,41,887875,6,260
218875,6,41,799166,6,260
257875,6,41,732292,6,260
205375,6,41,711167,6,260
217166,6,41,832000,6,260
230875,6,41,748166,6,260
307875,6,41,724750,6,260
217042,6,41,733750,6,260
210584,6,41,752958,6,260
204875,6,41,740750,6,260
191791,6,41,714667,6,260
283291,6,41,922875,6,260
200458,6,41,745708,6,260
192250,6,41,722334,6,260
242000,6,41,730500,6,260
181375,6,41,820792,6,260
166792,6,41,671292,6,260
171791,6,41,904333,6,260
206875,6,41,712750,6,260
258250,6,41,769709,6,260
228542,6,41,801625,6,260
216792,6,41,891458,6,260
254875,6,41,802333,6,260
196958,6,41,714541,6,260
189917,6,41,761375,6,260
204083,6,41,716625,6,260
200875,6,41,725000,6,260
336833,6,41,927375,6,260
195625,6,41,721459,6,260
201042,6,41,754500,6,260
289791,6,41,756167,6,260
204375,6,41,730125,6,260
247583,6,41,789458,6,260
185167,6,41,823875,6,260
245208,6,41,799875,6,260
276125,6,41,730375,6,260
175500,6,41,691458,6,260
195459,6,41,781125,6,260
174792,6,41,713125,6,260
252625,6,41,790500,6,260
181458,6,41,699166,6,260
177750,6,41,779625,6,260
203167,6,41,712250,6,260
203625,6,41,1541209,6,260
206834,6,41,741709,6,260
233875,6,41,746833,6,260
185250,6,41,714375,6,260
176625,6,41,709625,6,260
233416,6,41,774375,6,260
190708,6,41,720334,6,260
173458,6,41,706792,6,260
362167,6,41,1199834,6,260
235291,6,41,731875,6,260
200083,6,41,780875,6,260
197750,6,41,751416,6,260
220542,6,41,882875,6,260
209959,6,41,773584,6,260
205916,6,41,764750,6,260
187917,6,41,703000,6,260
321667,6,41,1057666,6,260
263667,6,41,786625,6,260
200083,6,41,721334,6,260
184167,6,41,816583,6,260
209833,6,41,710458,6,260
203667,6,41,879500,6,260
235875,6,41,739084,6,260
206959,6,41,835958,6,260
218833,6,41,775959,6,260
185042,6,41,754709,6,260
241209,6,41,716834,6,260
166333,6,41,686375,6,260
206750,6,41,734167,6,260
445084,6,41,1261375,6,260
196958,6,41,737417,6,260
209791,6,41,756208,6,260
216292,6,41,727750,6,260
204667,6,41,727167,6,260
269709,6,41,801583,6,260
185708,6,41,726125,6,260
232958,6,41,948042,6,260
246000,6,41,706000,6,260
166875,6,41,677833,6,260
208208,6,41,813334,6,260
197167,6,41,804791,6,260
176375,6,41,697750,6,260
303833,6,41,760167,6,260
173125,6,41,697792,6,260
230709,6,41,723750,6,260
185500,6,41,869500,6,260
226459,6,41,755125,6,260
195291,6,41,743625,6,260
208208,6,41,750334,6,260
222375,6,41,767083,6,260
224167,6,41,1032875,6,260
175750,6,41,714833,6,260
210083,6,41,768584,6,260
182458,6,41,703791,6,260
176042,6,41,700125,6,260
223250,6,41,739459,6,260
