PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
80125,6,5,115250,6,36
74833,6,5,93042,6,36
30458,6,5,82542,6,36
67583,6,5,102417,6,36
61042,6,5,101458,6,36
83167,6,5,150334,6,36
64958,6,5,90042,6,36
59542,6,5,89459,6,36
53000,6,5,160375,6,36
88417,6,5,230791,6,36
51833,6,5,88250,6,36
58416,6,5,125083,6,36
51584,6,5,199917,6,36
56667,6,5,104750,6,36
96208,6,5,115666,6,36
58791,6,5,93375,6,36
66625,6,5,95584,6,36
37083,6,5,88542,6,36
36541,6,5,100541,6,36
100583,6,5,101417,6,36
56791,6,5,90792,6,36
34833,6,5,87333,6,36
29375,6,5,80583,6,36
39625,6,5,88000,6,36
48291,6,5,84084,6,36
40708,6,5,328459,6,36
63000,6,5,94542,6,36
86417,6,5,96792,6,36
126333,6,5,133792,6,36
47417,6,5,98458,6,36
34541,6,5,84125,6,36
77208,6,5,102000,6,36
29292,6,5,85083,6,36
63125,6,5,96125,6,36
68166,6,5,144875,6,36
51041,6,5,94333,6,36
65250,6,5,100750,6,36
69709,6,5,93917,6,36
67083,6,5,93542,6,36
99416,6,5,90583,6,36
52291,6,5,90916,6,36
31041,6,5,80542,6,36
27875,6,5,80833,6,36
71375,6,5,100375,6,36
84375,6,5,141625,6,36
62417,6,5,94625,6,36
50000,6,5,91125,6,36
62209,6,5,91375,6,36
68542,6,5,104041,6,36
44167,6,5,93375,6,36
71583,6,5,96875,6,36
62000,6,5,126292,6,36
43792,6,5,85542,6,36
62125,6,5,95875,6,36
80250,6,5,101833,6,36
50792,6,5,89750,6,36
65584,6,5,107083,6,36
53834,6,5,93583,6,36
127250,6,5,335875,6,36
44667,6,5,88125,6,36
51542,6,5,103334,6,36
51708,6,5,119625,6,36
51208,6,5,95083,6,36
84542,6,5,120667,6,36
64292,6,5,95125,6,36
61250,6,5,95042,6,36
44333,6,5,91000,6,36
61000,6,5,178458,6,36
72541,6,5,96916,6,36
34083,6,5,80417,6,36
25750,6,5,78750,6,36
95208,6,5,115458,6,36
82167,6,5,107000,6,36
69958,6,5,95875,6,36
73542,6,5,88167,6,36
32125,6,5,83166,6,36
77041,6,5,100584,6,36
46500,6,5,84375,6,36
252959,6,5,258708,6,36
71625,6,5,102083,6,36
36750,6,5,87541,6,36
40000,6,5,88459,6,36
74209,6,5,95083,6,36
114709,6,5,94167,6,36
66375,6,5,91292,6,36
32084,6,5,82709,6,36
68000,6,5,95750,6,36
31208,6,5,79083,6,36
47291,6,5,98291,6,36
75292,6,5,90708,6,36
81583,6,5,110667,6,36
71084,6,5,97500,6,36
49166,6,5,90542,6,36
56334,6,5,92083,6,36
66083,6,5,99625,6,36
56875,6,5,123583,6,36
59792,6,5,93417,6,36
59084,6,5,91750,6,36
77000,6,5,104083,6,36
52792,6,5,92958,6,36
