PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
286875,6,25,539375,6,164
144084,6,25,443166,6,164
158875,6,25,477125,6,164
121875,6,25,433708,6,164
156959,6,25,608208,6,164
144000,6,25,475708,6,164
177791,6,25,482000,6,164
168708,6,25,545958,6,164
161625,6,25,464667,6,164
170000,6,25,470375,6,164
116667,6,25,429416,6,164
146667,6,25,445708,6,164
152584,6,25,486667,6,164
137334,6,25,442959,6,164
255917,6,25,1097500,6,164
122916,6,25,427791,6,164
109333,6,25,412125,6,164
113333,6,25,535583,6,164
131084,6,25,462708,6,164
146958,6,25,460042,6,164
129625,6,25,435541,6,164
107375,6,25,428458,6,164
154000,6,25,457125,6,164
126750,6,25,421750,6,164
137375,6,25,444375,6,164
160875,6,25,490292,6,164
154708,6,25,519750,6,164
125875,6,25,438625,6,164
202250,6,25,659291,6,164
127000,6,25,436375,6,164
157916,6,25,479250,6,164
171917,6,25,546667,6,164
123125,6,25,446083,6,164
173375,6,25,2568458,6,164
152459,6,25,448750,6,164
203041,6,25,456667,6,164
127334,6,25,420500,6,164
166375,6,25,462458,6,164
125583,6,25,439541,6,164
152750,6,25,442625,6,164
146041,6,25,469291,6,164
265583,6,25,689083,6,164
157709,6,25,536042,6,164
211709,6,25,503750,6,164
137167,6,25,460583,6,164
164042,6,25,473542,6,164
119000,6,25,422666,6,164
145125,6,25,467709,6,164
130625,6,25,465166,6,164
113750,6,25,431709,6,164
451042,6,25,949750,6,164
127792,6,25,449833,6,164
156333,6,25,478709,6,164
133166,6,25,435041,6,164
195333,6,25,456708,6,164
164375,6,25,458500,6,164
152959,6,25,479625,6,164
136959,6,25,606125,6,164
119292,6,25,433042,6,164
115708,6,25,567792,6,164
180959,6,25,468542,6,164
131625,6,25,443208,6,164
201250,6,25,604750,6,164
151250,6,25,448125,6,164
139000,6,25,462875,6,164
125208,6,25,476333,6,164
131458,6,25,438000,6,164
116250,6,25,663250,6,164
174833,6,25,448084,6,164
116750,6,25,431917,6,164
145834,6,25,447208,6,164
137500,6,25,445375,6,164
148875,6,25,509709,6,164
144250,6,25,468958,6,164
137125,6,25,444875,6,164
134625,6,25,448541,6,164
143875,6,25,445416,6,164
137584,6,25,507500,6,164
236875,6,25,535000,6,164
128916,6,25,432875,6,164
136125,6,25,458542,6,164
128000,6,25,494833,6,164
110334,6,25,442042,6,164
165666,6,25,453625,6,164
107042,6,25,421875,6,164
157666,6,25,490625,6,164
114583,6,25,433417,6,164
120917,6,25,427584,6,164
154209,6,25,466625,6,164
160167,6,25,458750,6,164
169667,6,25,459167,6,164
347791,6,25,2882875,6,164
155542,6,25,453209,6,164
170041,6,25,464875,6,164
215916,6,25,466458,6,164
125916,6,25,457000,6,164
130041,6,25,433791,6,164
241792,6,25,528750,6,164
1207458,6,25,2017375,6,164
144750,6,25,434375,6,164
