PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
499250,6,113,1738333,6,592
742917,6,113,3026208,6,592
578375,6,113,1771000,6,592
745833,6,113,1753667,6,592
563667,6,113,1868917,6,592
550208,6,113,2302667,6,592
1448000,6,113,2163083,6,592
536000,6,113,1912375,6,592
580417,6,113,1885041,6,592
484625,6,113,1715500,6,592
503583,6,113,1735708,6,592
598375,6,113,1830041,6,592
527042,6,113,1806292,6,592
521291,6,113,1794458,6,592
3102750,6,113,2456416,6,592
477000,6,113,1799708,6,592
491583,6,113,1776583,6,592
555666,6,113,1811417,6,592
498958,6,113,1719875,6,592
662958,6,113,4546042,6,592
582667,6,113,1827959,6,592
518042,6,113,1902250,6,592
1919750,6,113,3364625,6,592
521292,6,113,1722959,6,592
519750,6,113,1723709,6,592
510167,6,113,1878916,6,592
530375,6,113,1917709,6,592
492167,6,113,1682000,6,592
1397375,6,113,2485667,6,592
526750,6,113,1802375,6,592
568209,6,113,1947750,6,592
508542,6,113,1906250,6,592
485333,6,113,1774000,6,592
623125,6,113,10050333,6,592
553000,6,113,1723083,6,592
3167375,6,113,2889041,6,592
500458,6,113,1711834,6,592
520292,6,113,1735708,6,592
553166,6,113,1787000,6,592
535667,6,113,1738500,6,592
2082958,6,113,2474333,6,592
500500,6,113,1762125,6,592
532208,6,113,1785667,6,592
550125,6,113,1760584,6,592
547708,6,113,1852166,6,592
526791,6,113,1905125,6,592
513375,6,113,1777625,6,592
614458,6,113,2039042,6,592
507083,6,113,1846459,6,592
516250,6,113,1719084,6,592
545167,6,113,1781042,6,592
524333,6,113,1786958,6,592
482375,6,113,1718875,6,592
505083,6,113,1696417,6,592
473000,6,113,1676083,6,592
493000,6,113,1745917,6,592
511833,6,113,1773208,6,592
481250,6,113,1731416,6,592
507917,6,113,1719334,6,592
536625,6,113,1744458,6,592
546792,6,113,1780292,6,592
476375,6,113,1678250,6,592
457250,6,113,1753500,6,592
807000,6,113,3698958,6,592
508417,6,113,1714209,6,592
551125,6,113,4383042,6,592
579958,6,113,1844833,6,592
1963417,6,113,1706750,6,592
543958,6,113,1923209,6,592
488833,6,113,1717125,6,592
476417,6,113,1737500,6,592
535584,6,113,1704750,6,592
460250,6,113,1746584,6,592
547500,6,113,1819667,6,592
467292,6,113,1676042,6,592
463541,6,113,1697750,6,592
716000,6,113,2792542,6,592
569375,6,113,1799333,6,592
530250,6,113,1748583,6,592
496916,6,113,1711792,6,592
497958,6,113,1714209,6,592
488917,6,113,1953500,6,592
490833,6,113,1706875,6,592
1048459,6,113,2289250,6,592
526833,6,113,1756375,6,592
540958,6,113,1730375,6,592
483542,6,113,1681792,6,592
460500,6,113,1700666,6,592
449416,6,113,1683542,6,592
611333,6,113,2635916,6,592
537417,6,113,1891667,6,592
461583,6,113,1678250,6,592
506292,6,113,1738833,6,592
501375,6,113,1717833,6,592
455083,6,113,1752291,6,592
758708,6,113,2545208,6,592
493125,6,113,1714334,6,592
485500,6,113,1749125,6,592
470333,6,113,1687167,6,592
510375,6,113,1890750,6,592
