PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
150167,7,1,16459,7,1
82792,7,1,23292,7,1
82500,7,1,22250,7,1
44875,7,1,13959,7,1
54750,7,1,10708,7,1
74291,7,1,20958,7,1
126416,7,1,12000,7,1
57417,7,1,18750,7,1
22458,7,1,8708,7,1
72791,7,1,17667,7,1
80000,7,1,13666,7,1
57250,7,1,11750,7,1
43625,7,1,9916,7,1
99708,7,1,12666,7,1
35500,7,1,9166,7,1
59000,7,1,11917,7,1
122916,7,1,16125,7,1
52250,7,1,11083,7,1
44083,7,1,11459,7,1
103291,7,1,13833,7,1
171541,7,1,21167,7,1
79000,7,1,12459,7,1
178333,7,1,62958,7,1
1144333,7,1,272000,7,1
190542,7,1,19042,7,1
63959,7,1,16875,7,1
75209,7,1,15667,7,1
122708,7,1,22875,7,1
65500,7,1,77125,7,1
140083,7,1,56916,7,1
45208,7,1,8083,7,1
25000,7,1,7125,7,1
125083,7,1,13542,7,1
27750,7,1,7791,7,1
33875,7,1,9458,7,1
56500,7,1,9250,7,1
45583,7,1,9167,7,1
31875,7,1,11500,7,1
64042,7,1,10041,7,1
69625,7,1,17000,7,1
58209,7,1,9750,7,1
20834,7,1,6791,7,1
28083,7,1,8958,7,1
35500,7,1,7959,7,1
31125,7,1,6917,7,1
124666,7,1,12083,7,1
52708,7,1,8750,7,1
42542,7,1,9333,7,1
88792,7,1,10541,7,1
41459,7,1,9125,7,1
29167,7,1,7917,7,1
20875,7,1,10000,7,1
68708,7,1,9709,7,1
30541,7,1,8084,7,1
69125,7,1,9708,7,1
37625,7,1,9833,7,1
72167,7,1,12917,7,1
76709,7,1,123833,7,1
59667,7,1,8750,7,1
20042,7,1,21333,7,1
56750,7,1,47833,7,1
110917,7,1,17750,7,1
33459,7,1,7209,7,1
46750,7,1,12042,7,1
17750,7,1,11917,7,1
13541,7,1,5250,7,1
44459,7,1,8583,7,1
73042,7,1,6834,7,1
28417,7,1,6583,7,1
83083,7,1,10042,7,1
50542,7,1,7208,7,1
37958,7,1,7125,7,1
58792,7,1,13625,7,1
14375,7,1,5875,7,1
71750,7,1,8542,7,1
36167,7,1,6916,7,1
41500,7,1,11375,7,1
39542,7,1,9750,7,1
38875,7,1,6959,7,1
34000,7,1,7167,7,1
40000,7,1,6459,7,1
14333,7,1,8084,7,1
70375,7,1,10917,7,1
86167,7,1,9250,7,1
29458,7,1,5667,7,1
121209,7,1,19084,7,1
71334,7,1,9833,7,1
17208,7,1,5708,7,1
39458,7,1,12709,7,1
48209,7,1,7083,7,1
15750,7,1,5500,7,1
17208,7,1,5667,7,1
69834,7,1,7625,7,1
63541,7,1,9083,7,1
75500,7,1,7625,7,1
37458,7,1,7792,7,1
34625,7,1,7083,7,1
33166,7,1,6000,7,1
26167,7,1,7459,7,1
93542,7,1,10833,7,1
