PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
150000,216,5,569791,1518,36
181375,216,5,554000,1518,36
144958,216,5,599084,1518,36
96625,216,5,543958,1518,36
123583,216,5,698167,1518,36
169000,216,5,542833,1518,36
115417,216,5,485834,1518,36
151333,216,5,1307625,1518,36
162417,216,5,536375,1518,36
96208,216,5,486584,1518,36
100791,216,5,585333,1518,36
127458,216,5,547417,1518,36
93542,216,5,555750,1518,36
164792,216,5,515125,1518,36
107042,216,5,529708,1518,36
370208,216,5,570917,1518,36
115792,216,5,641167,1518,36
128834,216,5,549958,1518,36
107542,216,5,499042,1518,36
101125,216,5,504125,1518,36
119250,216,5,501584,1518,36
92709,216,5,478708,1518,36
128208,216,5,580125,1518,36
126500,216,5,527333,1518,36
118208,216,5,808208,1518,36
98458,216,5,495583,1518,36
104792,216,5,492625,1518,36
100875,216,5,514500,1518,36
143750,216,5,2947250,1518,36
99875,216,5,491458,1518,36
110958,216,5,499000,1518,36
169542,216,5,643208,1518,36
143250,216,5,546333,1518,36
598000,216,5,564916,1518,36
89458,216,5,493958,1518,36
138709,216,5,519000,1518,36
140458,216,5,552458,1518,36
127708,216,5,556167,1518,36
93084,216,5,511458,1518,36
165334,216,5,661458,1518,36
91875,216,5,541542,1518,36
132375,216,5,533250,1518,36
107541,216,5,543375,1518,36
98750,216,5,493833,1518,36
82708,216,5,496333,1518,36
95917,216,5,482375,1518,36
88750,216,5,605667,1518,36
180583,216,5,1407292,1518,36
82917,216,5,522416,1518,36
105209,216,5,574500,1518,36
102833,216,5,3148625,1518,36
108000,216,5,615542,1518,36
78500,216,5,494833,1518,36
142458,216,5,531125,1518,36
76334,216,5,529208,1518,36
142416,216,5,555500,1518,36
77709,216,5,469500,1518,36
83250,216,5,503750,1518,36
87292,216,5,488666,1518,36
137708,216,5,598917,1518,36
115625,216,5,522417,1518,36
75459,216,5,471791,1518,36
83000,216,5,523792,1518,36
180500,216,5,615708,1518,36
106625,216,5,495125,1518,36
95792,216,5,517083,1518,36
80291,216,5,518042,1518,36
102416,216,5,572584,1518,36
101209,216,5,1345875,1518,36
79791,216,5,472167,1518,36
78584,216,5,607000,1518,36
95875,216,5,516041,1518,36
76625,216,5,499417,1518,36
144458,216,5,498208,1518,36
318459,216,5,1493791,1518,36
85791,216,5,501667,1518,36
99459,216,5,519625,1518,36
90917,216,5,561167,1518,36
114167,216,5,549834,1518,36
92292,216,5,484208,1518,36
75875,216,5,465417,1518,36
296292,216,5,552958,1518,36
86667,216,5,481708,1518,36
104375,216,5,502166,1518,36
107167,216,5,524250,1518,36
87708,216,5,496709,1518,36
106208,216,5,522500,1518,36
109875,216,5,545292,1518,36
107667,216,5,641917,1518,36
136750,216,5,530750,1518,36
159042,216,5,1498834,1518,36
78416,216,5,506583,1518,36
122625,216,5,565417,1518,36
103125,216,5,569250,1518,36
152291,216,5,595791,1518,36
432500,216,5,527625,1518,36
105667,216,5,541625,1518,36
86917,216,5,487250,1518,36
105958,216,5,506459,1518,36
77292,216,5,476250,1518,36
